"65","C N","36","K","8","V","CN 36","0.38600","CN 24","0.07018","CN 60","0.07018","ARM","0.14030","CZ120","0.07018","AS30","0.03680","CC46","0.11230","B64N","0.02030","HAR","0.01180","AGUA","0.08188","","0.00000","","0.00000"
"66","49A","36","k","8","V R","BCO36","0.38170","MAR24","0.38170","AE67","0.10180","B64N","0.05090","AS30","0.04580","HAR","0.01696","AGUA","0.02120","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"67","C N","60","S","5","V","CN 60","0.35740","MAR60","0.23930","AR80F","0.11910","CZ120","0.03620","CC46","0.06590","CC64","0.10800","AGUA","0.07410","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"68","C N","60","JK","5","V","CN 36","0.18270","CN 60","0.24340","CN 80","0.18270","AR60/80","0.15220","CC64","0.04853","CC46","0.06700","B64N","0.03639","HAR","0.01507","AGUA","0.07200","","0.00000","","0.00000","","0.00000"
"69","C N","36","R","5","V","CN 24","0.07460","CN 36","0.36740","CN 60","0.11770","ARM","0.10330","CZ120","0.06630","A73N","0.11600","B55N","0.05800","AGUA","0.09668","","0.00000","","0.00000","","0.00000","","0.00000"
"70","99R","80","J K","12","V","BCO80","0.41890","BCO60","0.27920","BCO120","0.06981","NU12","0.03071","AC64","0.09076","B55N","0.04747","OH","0.00030","HAR","0.01396","AGUA","0.04886","","0.00000","","0.00000","","0.00000"
"71","99R","80","J","5","V","BCO80","0.48960","BCO60","0.24390","BCO120","0.08190","B64N","0.13100","OH","0.00072","HAR","0.01640","AGUA","0.03640","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"72","99R","46","MN","5","V","BCO46","0.55010","BCO36","0.23530","B55N","0.15720","OH","0.00095","HAR","0.01192","AGUA","0.04452","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"73","C N","16","R","5","V","CN 14","0.13470","CN 20","0.13470","CN 24","0.13470","CN 36","0.13470","ARM","0.13620","CZ120","0.06811","A73N","0.11870","B55N","0.05928","AGUA","0.07895","","0.00000","","0.00000","","0.00000"
"74","A","46","P","4","BAK","MAR36","0.31430","MAR46","0.39700","CZ 46/60","0.05900","PYRIT","0.01000","OH","0.03800","CAL","0.00350","SIL","0.00100","MAG","0.00420","RESPOL","0.13000","RESLIQ","0.04300","","0.00000","","0.00000"
"75","A","24","R","5","BAK","MARR20","0.32000","MARR24","0.38000","CZ20/24","0.06520","PYRIT","0.00010","OH","0.03900","CAL","0.00350","FLUO","0.01300","MAG","0.00420","RC18 PO","0.13000","RESLIQ","0.04500","","0.00000","","0.00000"
"76","0.AL","36","R","6","BAK","MAR36","0.51000","CZ36/24","0.24530","FLUO","0.00609","OH","0.04300","MAG","0.00426","SIL","0.00010","CAL","0.00426","RESPOL","0.14000","RESLIQ","0.04700","","0.00000","","0.00000","","0.00000"
"77","OXIA","46","R","6","BAK","MAR46","0.41890","MAR60","0.11970","CZ60/80","0.23940","FLUO","0.00600","OH","0.00480","MAG","0.00420","SIL","0.00060","RESPOL","0.15560","RESLIQ","0.05090","","0.00000","","0.00000","","0.00000"
"78","UNID","UR","PAR","TE","FINA","MARR 36","0.35250","MARR 46","0.35000","CZ.","0.04500","FLUO","0.01200","PIRYT","0.01660","MAG","0.00300","RESPO","0.14000","RESLIQ","0.04800","SIL","0.00089","OH","0.03200","","0.00000","","0.00000"
"79","OA","80","N","5","V","MAR 80","0.62300","MAR120","0.15520","AE67","0.11720","B64N","0.05400","AGUA","0.05057","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"80","OA","100","M","5","V","MAR80","0.30490","MAR120","0.45630","AE67","0.12150","B64N","0.06115","AGUA","0.05610","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"81","99AC","60","K","5","V","BCO60","0.48300","BCO80","0.16100","BCO46","0.16100","AC64","0.09560","B55N","0.03230","HAR","0.01640","OH","0.00060","AGUA","0.05000","","0.00000","","0.00000","","0.00000","","0.00000"
"82","C N","16","P","8","V","CN14/24","0.25960","CN  20","0.07810","CN 24","0.05214","ARG","0.13090","ARM","0.13070","CZ120","0.06501","AS30","0.01952","A73N","0.12170","B55N","0.06018","AGUA","0.08209","","0.00000","","0.00000"
"83","C N","80","N","5","V","MAR 80","0.17620","CN 80","0.11750","CN 60","0.11750","AR 80","0.17620","CN150","0.11750","CZ 120","0.02960","A73N","0.12210","B55N","0.06083","AGUA","0.08250","","0.00000","","0.00000","","0.00000"
"84","99R","54","K","5","V","BCO 46","0.40000","BCO 60","0.40000","AC64","0.08800","B55N","0.04800","HAR","0.01600","AGUA","0.04800","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"85","99R","54","J K","5","V","BCO 46","0.39910","BCO 60","0.39910","AC64","0.09789","B55N","0.03765","HAR","0.01606","AGUA","0.05020","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"86","99R","60","M","5","v","BCO 60","0.46790","BCO 46","0.31100","B64N","0.15580","OH","0.00084","HAR","0.01120","AGUA","0.05320","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"87","C/CV","80","L","5","V","CV 60","0.21290","CN 80","0.17900","CV120","0.19000","AR60/80","0.17630","A73N","0.09050","B55N","0.04530","HAR","0.01770","AGUA","0.08830","","0.00000","","0.00000","","0.00000","","0.00000"
"88","C V","80","K","6","VIT","CV 80","0.62110","AR 60","0.12420","AE67","0.09940","B64N","0.04970","HAR","0.01242","AGUA","0.09310","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"89","C N","24","R","5","BAK","MAR24","0.19690","NEG24","0.39380","ARM s/fino","0.19690","RR100F","0.04922","SIL","0.00069","RESPOL","0.11810","RESLIQ","0.04430","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"90","OA","70","R","5","BAK","MAR80","0.38740","MAR60","0.38000","GRAF","0.03000","RESPOL","0.14550","RESLIQ","0.05500","SIL","0.00212","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"91","99R","80","K L","5","V","BCO80","0.59370","BCO60","0.19880","B64N","0.14370","OH","0.00055","HAR","0.01353","AGUA","0.04971","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"92","99B","80","L/M","5","V","BCO80","0.59090","BCO60","0.19530","AE67","0.10020","CA55","0.06009","HAR","0.01352","AGUA","0.04006","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
