"201","R R","300X38X127","10.00","9","6.300","G-150","9","0","0","0"
"202","DCR","178X1.6X22","10.00","53","0.095","E-250","110970","0","1000","500"
"203","DCD","230X6.4X22","10.00","194","0.710","G-160","9450","0","100","20"
"204","DCD","178X4.8X22","10.00","50","0.250","E-250","1790","0","100","80"
"320","C R","230X50X32","10.00","17","4.500","G-100","1","0","0","0"
"205","R R","250X25X28","10.00","10","3.500","G-100","1","0","0","0"
"206","R R","175X32X19","10.00","10","2.000","C-40","2","0","0","0"
"207","PLACA","240X120X8","10.00","54","0.340","E-130","6","0","0","0"
"208","PLACA","120X8X8","10.00","55","0.390","G-140","16","0","0","0"
"209","DCR","115X1.6X22","10.00","255","0.038","B-300","147610","0","1000","500"
"210","RCH","250X8X32","10.00","346","1.330","G-90","278","0","10","5"
"211","DCD","115X4.8X22","10.00","50","0.110","B-150","31200","0","300","100"
"217","DCD","178X3.2X22","10.00","349","0.160","E-250","37855","0","300","100"
"216","DCDUR","115X4.8X22","10.00","56","0.110","B-150","0","0","300","100"
"214","DCR","230X1.9X22","10.00","53","0.185","B-210","17685","0","200","100"
"215","DCD/CO","115X4.8X22","10.00","58","0.110","B-150","3270","0","300","100"
"218","MATRA","120X60X22","10.00","27","1.450","G-35","253","0","30","10"
"219","C R","200X100X73","10.00","27","4.700","G-60","35","0","5","2"
"220","COPAL","200 - extra","10.00","60","0.310","C-25","2468","0","50","20"
"221","SEG","COPAL 200 J","10.00","61","0.270","C-10","3046","0","50","10"
"222","SEG","COPAL 200 J","10.00","62","0.280","C-10","1495","0","50","10"
"223","SEG","COPAL 165 J","10.00","61","0.250","C-10","602","0","30","10"
"224","DCR","406X3.8X25","10.00","50","1.000","G-250","3283","0","50","20"
"225","R R","150X25X19","10.00","2","1.300","C-30","268","0","20","10"
"226","R R","300X32X38","10.00","63","4.850","G-160","250","0","0","0"
"227","COPAL","175","10.00","62","0.240","C-10","40","0","30","100"
"228","ANILLO","125X25X95","10.00","64","0.290","C-20","20","0","0","0"
"229","R R","300X32X38","10.00","65","5.800","G-180","1","0","0","0"
"230","RRc/e","300x50x76","10.00","39","8.900","G-150","0","0","0","0"
"231","C R","100X50X19","10.00","33","0.700","C-10","10","0","5","2"
"232","C R","125X75X25","10.00","34","1.650","C-20","5","0","0","0"
"233","R R","175X25X19","10.00","152","1.450","C-40","19","0","0","0"
"234","C R","150X75X25","10.00","33","2.500","C-30","4","0","0","0"
"235","MOLINO","200X42X19","10.00","66","3.500","C-50","34","0","0","0"
"236","PAN","200X50X25","10.00","186","0.600","E-100","751","0","20","5"
"237","C R","175X63X25","10.00","68","2.500","C-40","5","0","0","0"
"238","C R","125X63X25","10.00","206","1.200","C-20","99","0","10","5"
"239","R R","250X19X32","10.00","69","2.400","G-110","2","0","0","0"
"240","R R","175X25X19","10.00","17","1.400","C-40","8","0","0","0"
"241","C C","100X50X19","10.00","17","0.690","C-15","108","0","10","5"
"242","C C","125X50X50","10.00","17","1.000","C-25","20","0","10","5"
"243","C C","125X63X19","10.00","17","1.350","C-25","116","0","10","5"
"244","C C","76X50X20","10.00","17","0.320","C-6","5","0","0","0"
"245","C C","100X50X25","10.00","17","0.640","C-15","22","0","0","0"
"246","C C","63X50X19","10.00","17","0.250","D-60","52","0","0","0"
"247","C C","75X50X16","10.00","17","0.350","D-60","0","0","0","0"
"248","C C","38X32X1/2","10.00","17","0.060","D-50","15","0","0","0"
"249","C R","100X50X19","10.00","17","0.600","C-15","49","0","10","5"
"250","C C","76X38X19","10.00","17","0.300","C-6","18","0","0","0"
"251","C C","50X50X13","10.00","17","0.230","D-50","44","0","0","0"
"252","C C","76X50X16","10.00","17","0.200","C-6","10","0","0","0"
"253","R R","200X19X25","10.00","3","1.700","C-50","95","0","10","5"
